GlobalIndex,Order,PathVector_1,PathVector_2,PathVector_3,WaveletIdx_FB1,WaveletIdx_FB2,ScaleIdx_FB1,ScaleIdx_FB2,RotationIdx_FB1,RotationIdx_FB2,FreqMag_FB1,FreqMag_FB2,FreqAngle_FB1_deg,FreqAngle_FB2_deg
1,0,0,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,0,1,,1,NaN,1,NaN,0,NaN,0.375,NaN,0,NaN
3,1,0,2,,2,NaN,1,NaN,1,NaN,0.375,NaN,30,NaN
4,1,0,3,,3,NaN,1,NaN,2,NaN,0.375,NaN,60,NaN
5,1,0,4,,4,NaN,1,NaN,3,NaN,0.375,NaN,90,NaN
6,1,0,5,,5,NaN,1,NaN,4,NaN,0.375,NaN,120,NaN
7,1,0,6,,6,NaN,1,NaN,5,NaN,0.375,NaN,150,NaN
8,1,0,7,,7,NaN,2,NaN,0,NaN,0.1875,NaN,0,NaN
9,1,0,8,,8,NaN,2,NaN,1,NaN,0.1875,NaN,30,NaN
10,1,0,9,,9,NaN,2,NaN,2,NaN,0.1875,NaN,60,NaN
11,1,0,10,,10,NaN,2,NaN,3,NaN,0.1875,NaN,90,NaN
12,1,0,11,,11,NaN,2,NaN,4,NaN,0.1875,NaN,120,NaN
13,1,0,12,,12,NaN,2,NaN,5,NaN,0.1875,NaN,150,NaN
14,2,0,1,7,1,7,1,2,0,0,0.375,0.1875,0,0
15,2,0,1,8,1,8,1,2,0,1,0.375,0.1875,0,30
16,2,0,1,9,1,9,1,2,0,2,0.375,0.1875,0,60
17,2,0,1,10,1,10,1,2,0,3,0.375,0.1875,0,90
18,2,0,1,11,1,11,1,2,0,4,0.375,0.1875,0,120
19,2,0,1,12,1,12,1,2,0,5,0.375,0.1875,0,150
20,2,0,2,7,2,7,1,2,1,0,0.375,0.1875,30,0
21,2,0,2,8,2,8,1,2,1,1,0.375,0.1875,30,30
22,2,0,2,9,2,9,1,2,1,2,0.375,0.1875,30,60
23,2,0,2,10,2,10,1,2,1,3,0.375,0.1875,30,90
24,2,0,2,11,2,11,1,2,1,4,0.375,0.1875,30,120
25,2,0,2,12,2,12,1,2,1,5,0.375,0.1875,30,150
26,2,0,3,7,3,7,1,2,2,0,0.375,0.1875,60,0
27,2,0,3,8,3,8,1,2,2,1,0.375,0.1875,60,30
28,2,0,3,9,3,9,1,2,2,2,0.375,0.1875,60,60
29,2,0,3,10,3,10,1,2,2,3,0.375,0.1875,60,90
30,2,0,3,11,3,11,1,2,2,4,0.375,0.1875,60,120
31,2,0,3,12,3,12,1,2,2,5,0.375,0.1875,60,150
32,2,0,4,7,4,7,1,2,3,0,0.375,0.1875,90,0
33,2,0,4,8,4,8,1,2,3,1,0.375,0.1875,90,30
34,2,0,4,9,4,9,1,2,3,2,0.375,0.1875,90,60
35,2,0,4,10,4,10,1,2,3,3,0.375,0.1875,90,90
36,2,0,4,11,4,11,1,2,3,4,0.375,0.1875,90,120
37,2,0,4,12,4,12,1,2,3,5,0.375,0.1875,90,150
38,2,0,5,7,5,7,1,2,4,0,0.375,0.1875,120,0
39,2,0,5,8,5,8,1,2,4,1,0.375,0.1875,120,30
40,2,0,5,9,5,9,1,2,4,2,0.375,0.1875,120,60
41,2,0,5,10,5,10,1,2,4,3,0.375,0.1875,120,90
42,2,0,5,11,5,11,1,2,4,4,0.375,0.1875,120,120
43,2,0,5,12,5,12,1,2,4,5,0.375,0.1875,120,150
44,2,0,6,7,6,7,1,2,5,0,0.375,0.1875,150,0
45,2,0,6,8,6,8,1,2,5,1,0.375,0.1875,150,30
46,2,0,6,9,6,9,1,2,5,2,0.375,0.1875,150,60
47,2,0,6,10,6,10,1,2,5,3,0.375,0.1875,150,90
48,2,0,6,11,6,11,1,2,5,4,0.375,0.1875,150,120
49,2,0,6,12,6,12,1,2,5,5,0.375,0.1875,150,150
